"user_name","story_id","mode","wpm","accuracy","time","total_errors","date"
"JOHN",1,"word",10,66,150.913,67,"2026-05-29 09:35:05"
"JOHN",1,"word",7,67,214.463,65,"2026-05-29 10:25:05"
"JOHN",1,"word",19,94,117.446,12,"2026-05-29 10:33:28"
"JOHN",1,"word",16,87,127.95,25,"2026-05-29 11:28:16"
"JOHN",206,"word",20,90,117.848,21,"2026-05-29 11:31:14"
"JOHN",250,"word",31,97,81.221,7,"2026-05-29 21:59:12"
"JOHN",1,"word",19,75,91.786,48,"2026-05-30 15:12:30"
"JOHN",1,"word",17,89,124.479,22,"2026-05-30 15:34:34"
"john",1,"word",16,90,134.514,19,"2026-05-30 15:50:38"
"john",2,"word",25,87,78.347,25,"2026-05-30 15:52:33"
"john",1,"word",25,83,77.821,34,"2026-05-30 15:54:56"
"Anónimo",1,"word",21,95,96.067,8,"2026-05-30 15:58:16"
"john",1,"word",27,86,74.098,28,"2026-05-31 20:25:15"
